iso,ccu,visits,favorites,ratingPct
2026-08-27T22:49:09.871Z,275,45375818,449634,96.48
2026-08-27T22:56:07.786Z,274,45375951,449635,96.48
2026-08-27T22:57:59.421Z,264,45376003,449635,96.48
2026-08-28T06:44:45.806Z,272,45383738,449653,96.48
2026-08-28T19:01:07.732Z,542,45405686,449700,96.48
2026-08-29T02:06:39.061Z,387,45418087,449742,96.48
2026-08-29T08:58:24.466Z,557,45430139,449780,96.48
2026-08-29T14:13:09.389Z,849,45444028,449818,96.48
2026-08-29T17:44:20.352Z,819,45455319,449853,96.48
2026-08-29T19:59:23.536Z,763,45462337,449877,96.48
2026-08-29T22:30:40.699Z,627,45468440,449895,96.48
2026-08-30T00:38:33.348Z,473,45472430,449909,96.48
2026-08-30T05:47:32.728Z,412,45480599,449943,96.48
2026-08-30T10:42:51.354Z,591,45490444,449965,96.48
2026-08-30T15:02:29.249Z,846,45502380,449984,96.48
2026-08-30T18:34:43.900Z,815,45514021,450015,96.48
2026-08-30T21:29:15.705Z,685,45522527,450044,96.48
2026-08-30T23:44:02.841Z,566,45527810,450059,96.48
2026-08-31T01:38:20.952Z,382,45531108,450066,96.48
2026-08-31T07:37:19.094Z,410,45538409,450088,96.48
2026-08-31T15:24:38.506Z,573,45555886,450121,96.48
2026-08-31T20:55:42.524Z,550,45568572,450144,96.48
2026-09-01T00:19:04.745Z,300,45574546,450155,96.48
2026-09-01T05:19:36.338Z,175,45578833,450164,96.48
2026-09-01T10:13:05.779Z,340,45584092,450170,96.48
2026-09-01T14:56:01.040Z,508,45593157,450202,96.48
2026-09-01T18:07:01.382Z,435,45599681,450223,96.48
2026-09-01T20:58:56.024Z,405,45604551,450243,96.48
2026-09-01T23:08:00.054Z,338,45607817,450258,96.48
2026-09-02T01:00:09.811Z,259,45609972,450258,96.48
2026-09-02T05:36:48.850Z,128,45613131,450265,96.48
2026-09-02T09:53:02.317Z,241,45616323,450273,96.48
2026-09-02T13:59:38.574Z,384,45621942,450291,96.48
2026-09-02T17:46:57.006Z,457,45628274,450305,96.48
2026-09-02T20:07:32.865Z,384,45632125,450311,96.48
2026-09-02T22:34:51.910Z,361,45635625,450325,96.48
2026-09-03T00:36:00.121Z,234,45638000,450330,96.48
2026-09-03T05:00:03.896Z,178,45641097,450341,96.48
2026-09-03T09:34:16.388Z,248,45644718,450351,96.48
2026-09-03T13:50:23.454Z,428,45650431,450362,96.48
2026-09-03T17:25:39.151Z,475,45656848,450375,96.48
2026-09-03T19:59:55.418Z,486,45662111,450388,96.48
2026-09-03T22:27:39.977Z,483,45666453,450400,96.48
2026-09-04T00:16:00.468Z,312,45669358,450407,96.48
2026-09-04T04:39:15.907Z,151,45672894,450414,96.48
2026-09-04T09:02:51.711Z,283,45676645,450423,96.48
2026-09-04T13:26:37.428Z,541,45683572,450436,96.48
2026-09-04T16:56:14.096Z,616,45691371,450450,96.48
2026-09-04T19:16:03.806Z,526,45696732,450465,96.48
2026-09-04T21:32:13.572Z,416,45701114,450482,96.48
