iso,epoch,ccu,visits,favorites,upVotes,downVotes,ratingPct,servers,avgServerFill,avgPing,avgFps,badgeAwardsTotal,badgeAwardsPastDay
2026-08-27T22:49:09.871Z,1787870949871,2,5937,32,11,9,55,0,,,,,
2026-08-27T22:56:07.786Z,1787871367786,2,5940,32,11,9,55,0,,,,,
2026-08-27T22:57:59.421Z,1787871479421,2,5940,32,11,9,55,0,,,,,
2026-08-28T06:44:45.806Z,1787899485806,5,6743,35,13,9,59.091,0,,,,,
2026-08-28T19:01:07.732Z,1787943667732,16,8614,38,16,11,59.259,0,,,,,
2026-08-29T02:06:39.061Z,1787969199061,13,9684,42,17,13,56.667,0,,,,,
2026-08-29T08:58:24.466Z,1787993904466,15,10366,46,17,14,54.839,0,,,,,
2026-08-29T14:13:09.389Z,1788012789389,20,11046,47,17,14,54.839,0,,,,,
2026-08-29T17:44:20.352Z,1788025460352,17,11553,52,17,14,54.839,0,,,,,
2026-08-29T19:59:23.536Z,1788033563536,28,11923,52,17,14,54.839,0,,,,,
2026-08-29T22:30:40.699Z,1788042640699,8,12306,54,17,14,54.839,0,,,,,
2026-08-30T00:38:33.348Z,1788050313348,10,12588,55,17,15,53.125,0,,,,,
2026-08-30T05:47:32.728Z,1788068852728,1,12793,56,18,15,54.545,0,,,,,
2026-08-30T10:42:51.354Z,1788086571354,1,12845,56,18,15,54.545,0,,,,,
2026-08-30T15:02:29.249Z,1788102149249,35,13532,61,19,15,55.882,0,,,,,
2026-08-30T18:34:43.900Z,1788114883900,22,14237,62,19,15,55.882,0,,,,,
2026-08-30T21:29:15.705Z,1788125355705,15,14733,62,19,16,54.286,0,,,,,
2026-08-30T23:44:02.841Z,1788133442841,20,15057,64,20,16,55.556,0,,,,,
2026-08-31T01:38:20.952Z,1788140300952,5,15117,64,20,16,55.556,0,,,,,
2026-08-31T07:37:19.094Z,1788161839094,12,16365,67,21,18,53.846,0,,,,,
2026-08-31T15:24:38.506Z,1788189878506,24,17498,72,22,18,55,0,,,,,
2026-08-31T20:55:42.524Z,1788209742524,62,18550,74,23,19,54.762,0,,,,,
2026-09-01T00:19:04.745Z,1788221944745,12,18868,74,23,19,54.762,0,,,,,
2026-09-01T05:19:36.338Z,1788239976338,5,19293,74,24,19,55.814,0,,,,,
2026-09-01T10:13:05.779Z,1788257585779,14,19736,74,24,19,55.814,0,,,,,
2026-09-01T14:56:01.040Z,1788274561040,26,20519,82,24,19,55.814,0,,,,,
2026-09-01T18:07:01.382Z,1788286021382,16,21062,85,24,19,55.814,0,,,,,
2026-09-01T20:58:56.024Z,1788296336024,11,21478,87,24,20,54.545,0,,,,,
2026-09-01T23:08:00.054Z,1788304080054,21,21787,88,24,21,53.333,0,,,,,
2026-09-02T01:00:09.811Z,1788310809811,28,22186,90,26,21,55.319,0,,,,,
2026-09-02T05:36:48.850Z,1788327408850,8,23202,98,26,21,55.319,0,,,,,
